sample,failure time
1,276
2,238
3,380
4,142
5,41
6,797
7,474
8,775
9,94
10,831
11,512
12,916
13,21
14,65
15,1756
16,433
17,1313
18,260
19,338
20,990
21,653
22,2179
23,8
24,196
25,174
